route_id,day_type,hour_bucket,score_1_to_5,pct_on_time,avg_delay_minutes,delay_stddev_minutes,cancellation_rate,sample_size,last_updated
3 S8 a,weekday,evening,3.5,83.4,1.63,3.72,0.0,416,2026-07-02 18:20:24.428456
3 161 d a,weekday,pm_peak,,100.0,-0.65,1.0,0.0,7,2026-07-02 18:20:24.428456
3 W2 a,weekday,pm_peak,4.5,100.0,-2.07,2.99,0.0,61,2026-07-02 18:20:24.428456
3 W2 a,weekday,evening,4.5,100.0,-1.22,2.97,0.0,242,2026-07-02 18:20:24.428456
3 W6 a,weekday,evening,1.0,34.2,7.74,5.71,0.0,313,2026-07-02 18:20:24.428456
3 270 d b,weekday,evening,1.0,40.9,9.97,9.33,0.0,44,2026-07-02 18:20:24.428456
3 73 a,weekday,pm_peak,4.0,92.3,-3.01,6.18,0.0,155,2026-07-02 18:20:24.428456
WFRD W5 b c,weekday,pm_peak,1.5,51.9,5.36,4.1,0.0,632,2026-07-02 18:20:24.428456
03C 126 e a,weekday,evening,1.0,59.2,5.56,6.67,0.0,326,2026-07-02 18:20:24.428456
03C 120 e a,weekday,evening,3.5,80.3,2.19,4.14,0.0,208,2026-07-02 18:20:24.428456
03C 125 e a,weekday,pm_peak,2.5,70.9,3.01,2.83,0.0,79,2026-07-02 18:20:24.428456
MAL-COBH-O,weekday,pm_peak,,100.0,0.0,0.0,0.0,12,2026-07-02 18:20:24.428456
BRAY-HOWTH-O,weekday,evening,4.5,98.4,0.48,1.34,0.0,763,2026-07-02 18:20:24.428456
DUB-CORK-I,saturday,pm_peak,3.5,83.8,2.1,4.0,0.0,68,2026-07-02 18:20:24.428456
DUB-MAYNOOTH-I,weekday,pm_peak,4.5,96.5,1.63,1.71,0.0,318,2026-07-02 18:20:24.428456
DUB-PORTLAOIS-O,saturday,evening,4.5,100.0,0.98,0.8,0.0,40,2026-07-02 18:20:24.428456
LIMERICK-WAT-I,saturday,pm_peak,,100.0,-1.57,1.53,0.0,23,2026-07-02 18:20:24.428456
1 39 c a,weekday,evening,4.5,97.2,0.39,2.57,0.0,1855,2026-07-02 18:20:24.428456
1 53 c a,weekday,evening,4.5,100.0,0.22,0.55,0.0,177,2026-07-02 18:20:24.428456
1 69 c a,weekday,pm_peak,1.0,15.2,10.29,3.96,0.0,79,2026-07-02 18:20:24.428456
1 7D c a,weekday,pm_peak,1.0,0.0,14.82,3.02,0.0,69,2026-07-02 18:20:24.428456
1 1 e a,weekday,pm_peak,3.5,85.1,1.72,3.36,0.0,686,2026-07-02 18:20:24.428456
1 G1,weekday,evening,4.5,97.0,0.41,2.32,0.0,2238,2026-07-02 18:20:24.428456
1 130 c a,weekday,pm_peak,3.5,88.3,1.6,3.03,0.0,589,2026-07-02 18:20:24.428456
1 H2 c a,weekday,evening,4.5,95.4,0.4,1.7,0.0,916,2026-07-02 18:20:24.428456
1 L14 a,weekday,pm_peak,2.5,65.2,3.67,4.47,0.0,333,2026-07-02 18:20:24.428456
1 L53 c,weekday,evening,4.5,100.0,0.11,0.5,0.0,412,2026-07-02 18:20:24.428456
1 S2,weekday,pm_peak,2.5,60.7,4.09,3.5,0.0,382,2026-07-02 18:20:24.428456
1 X27 d,weekday,pm_peak,2.0,60.4,-1.95,13.15,0.0,202,2026-07-02 18:20:24.428456
1 X31 c,weekday,pm_peak,4.5,100.0,-0.01,0.01,0.0,104,2026-07-02 18:20:24.428456
1 15 c a,weekday,evening,4.5,97.1,0.39,2.17,0.0,3391,2026-07-02 18:20:24.428456
1 15B c a,weekday,pm_peak,2.0,74.0,3.53,5.76,0.0,841,2026-07-02 18:20:24.428456
1 11 c a,weekday,pm_peak,1.0,46.5,6.87,6.01,0.0,648,2026-07-02 18:20:24.428456
1 11 c a,weekday,evening,4.5,95.8,0.47,2.28,0.0,1437,2026-07-02 18:20:24.428456
1 33D c a,weekday,pm_peak,,0.0,30.32,0.72,0.0,24,2026-07-02 18:20:24.428456
1 33X c a,weekday,pm_peak,1.0,11.6,17.29,5.66,0.0,95,2026-07-02 18:20:24.428456
1 38 c a,weekday,pm_peak,1.0,42.1,7.41,6.63,0.0,309,2026-07-02 18:20:24.428456
1 38A c a,weekday,evening,4.5,96.0,0.45,2.1,0.0,1143,2026-07-02 18:20:24.428456
2 131 a,weekday,pm_peak,2.5,70.3,2.57,3.8,0.0,259,2026-07-02 18:20:24.428456
2 133 e,weekday,pm_peak,1.0,41.8,7.2,5.32,0.0,464,2026-07-02 18:20:24.428456
2 167 c a,weekday,evening,3.5,87.2,3.32,2.14,0.0,47,2026-07-02 18:20:24.428456
2 168 c a,weekday,pm_peak,1.5,53.7,2.97,4.01,0.0,147,2026-07-02 18:20:24.428456
2 182 c a,weekday,evening,1.0,0.0,38.4,8.13,0.0,33,2026-07-02 18:20:24.428456
2 205 c a,weekday,evening,2.0,71.0,4.79,7.66,0.0,145,2026-07-02 18:20:24.428456
2 101X c a,weekday,evening,,0.0,15.62,1.38,0.0,16,2026-07-02 18:20:24.428456
2 208 c a,weekday,pm_peak,1.0,9.4,31.11,21.41,0.0,1442,2026-07-02 18:20:24.428456
2 214 c a,weekday,evening,1.0,58.5,7.62,10.75,0.0,311,2026-07-02 18:20:24.428456
2 22 d,weekday,evening,1.0,0.0,16.73,3.43,0.0,72,2026-07-02 18:20:24.428456
2 225 c a,weekday,evening,1.5,51.1,3.75,3.78,0.0,92,2026-07-02 18:20:24.428456
2 261 c a,weekday,evening,,0.0,16.06,4.39,0.0,20,2026-07-02 18:20:24.428456
2 301 c a,weekday,pm_peak,3.5,77.8,3.02,2.85,0.0,351,2026-07-02 18:20:24.428456
2 105X c a,weekday,pm_peak,4.5,100.0,-2.1,0.58,0.0,48,2026-07-02 18:20:24.428456
2 107 c b,weekday,pm_peak,,100.0,0.29,0.43,0.0,23,2026-07-02 18:20:24.428456
2 304 c b,weekday,evening,4.5,99.0,0.66,1.5,0.0,310,2026-07-02 18:20:24.428456
2 109 d,weekday,evening,1.0,50.5,12.1,15.82,0.0,281,2026-07-02 18:20:24.428456
2 31 a,weekday,pm_peak,1.0,58.8,6.5,5.1,0.0,80,2026-07-02 18:20:24.428456
2 310,weekday,evening,4.5,100.0,0.42,1.14,0.0,162,2026-07-02 18:20:24.428456
2 404 c a,weekday,pm_peak,1.0,31.0,7.48,5.19,0.0,410,2026-07-02 18:20:24.428456
2 420 c a,weekday,evening,,100.0,0.55,0.99,0.0,14,2026-07-02 18:20:24.428456
2 425 c a,weekday,pm_peak,4.5,100.0,0.66,1.31,0.0,45,2026-07-02 18:20:24.428456
2 72 c a,weekday,evening,2.5,66.2,4.31,2.25,0.0,65,2026-07-02 18:20:24.428456
2 A2 c a,weekday,pm_peak,1.0,39.9,7.04,5.36,0.0,318,2026-07-02 18:20:24.428456
2 111A c a,weekday,evening,,90.5,0.24,2.5,0.0,21,2026-07-02 18:20:24.428456
2 D2 c a,weekday,evening,4.5,100.0,0.21,0.59,0.0,98,2026-07-02 18:20:24.428456
2 NV2 a,weekday,pm_peak,2.0,71.1,3.9,5.79,0.0,114,2026-07-02 18:20:24.428456
2 S1 c a,weekday,pm_peak,1.0,31.3,22.79,14.62,0.0,482,2026-07-02 18:20:24.428456
3 L51 c,weekday,evening,4.5,96.6,2.23,1.73,0.0,89,2026-07-02 18:20:24.428456
3 N6,weekday,evening,4.5,95.5,-0.1,3.24,0.0,538,2026-07-02 18:20:24.428456
3 W4 a,weekday,evening,2.5,68.7,2.61,3.14,0.0,179,2026-07-02 18:20:24.428456
3 220 d a,weekday,pm_peak,1.0,39.5,7.52,3.99,0.0,43,2026-07-02 18:20:24.428456
