stop_id,stop_name,stop_lat,stop_lon,day_type,hour_bucket,score_1_to_5,pct_on_time,avg_delay_minutes,delay_stddev_minutes,sample_size,last_updated
8220GA00062,Harcourt,53.33365091,-6.262691737,weekday,evening,4.0,100.0,-13.86,16.66,72,2026-07-03 02:53:36.731074
8250GA00323,Ballyogan,53.25506913,-6.184418067,weekday,evening,4.0,100.0,-38.35,14.44,50,2026-07-03 02:53:36.731074
8250GA00326,Carrickmines,53.25440536,-6.171571547,sunday,evening,4.0,100.0,-28.14,16.07,46,2026-07-03 02:53:36.731074
8220GA00075,Ranelagh,53.32613194,-6.256196436,weekday,evening,3.0,84.1,-14.02,21.25,63,2026-07-03 02:53:36.731074
8250GA00310,Central Park,53.27016803,-6.20389942,sunday,evening,,45.0,6.34,4.84,20,2026-07-03 02:53:36.731074
8250GA00336,Brides Glen,53.24187177,-6.142842986,weekday,evening,,100.0,0.05,0.66,21,2026-07-03 02:53:36.731074
8220GA00372,Suir Road,53.33659218,-6.307231258,weekday,pm_peak,,100.0,4.05,0.24,2,2026-07-03 02:53:36.731074
8230GA00353,Red Cow,53.31674596,-6.369780553,weekday,evening,4.0,97.9,-4.53,18.22,96,2026-07-03 02:53:36.731074
8230GA00347,Belgard,53.299145,-6.374808,weekday,evening,3.0,75.0,-8.11,16.48,108,2026-07-03 02:53:36.731074
8230GA00338,Cookstown,53.293311,-6.384038,weekday,evening,3.0,86.7,-15.04,20.42,30,2026-07-03 02:53:36.731074
8220GA00430,Mayor Square,53.34916764,-6.243269507,weekday,evening,,100.0,0.89,1.31,23,2026-07-03 02:53:36.731074
8220GA00404,Jervis,53.34768301,-6.265275464,weekday,pm_peak,,100.0,-7.3,0.24,2,2026-07-03 02:53:36.731074
8230GA00350,Kingswood,53.303586,-6.365409,sunday,evening,4.5,100.0,-6.55,4.03,37,2026-07-03 02:53:36.731074
8220GA00420,Busáras,53.350045,-6.251598,weekday,evening,4.0,100.0,-3.74,5.45,53,2026-07-03 02:53:36.731074
8220GA00402,Four Courts,53.346921,-6.273667,weekday,evening,3.0,76.9,-16.94,19.14,52,2026-07-03 02:53:36.731074
8220GA00409,Abbey St.,53.34859089,-6.258494272,weekday,evening,3.0,77.6,-19.02,17.36,49,2026-07-03 02:53:36.731074
8220GA00361,Bluebell,53.32931856,-6.333883625,weekday,evening,,76.2,3.28,2.44,21,2026-07-03 02:53:36.731074
8220GA00431,Mayor Square,53.34920357,-6.243268029,weekday,evening,,100.0,-14.12,9.82,27,2026-07-03 02:53:36.731074
8230GA00348,Belgard,53.29929146,-6.375066459,sunday,evening,,96.2,1.75,2.39,26,2026-07-03 02:53:36.731074
8230GA00345,Tallaght,53.28740296,-6.37460272,sunday,evening,,100.0,3.53,1.04,15,2026-07-03 02:53:36.731074
8220GA00399,Smithfield,53.3472,-6.278116,sunday,evening,,100.0,-26.9,2.17,27,2026-07-03 02:53:36.731074
8220GA00084,Beechwood,53.32093174,-6.254622178,sunday,evening,,7.4,6.85,1.22,27,2026-07-03 02:53:36.731074
8250GA00287,Dundrum,53.29242557,-6.245118882,sunday,evening,1.0,0.0,6.52,0.97,33,2026-07-03 02:53:36.731074
8250GA00314,Glencairn,53.26626785,-6.209924787,sunday,evening,,33.3,6.07,1.75,21,2026-07-03 02:53:36.731074
8220GA00084,Beechwood,53.32093174,-6.254622178,weekday,evening,,100.0,-0.56,0.86,29,2026-07-03 02:53:36.731074
8350DB004156,Seymour Road,53.2049673829576,-6.10361400629372,weekday,pm_peak,1.5,50.0,3.89,4.38,30,2026-07-03 02:53:36.731074
8350DB004244,Wendon Brook,53.1330304130234,-6.08109208786344,weekday,pm_peak,,100.0,2.02,,1,2026-07-03 02:53:36.731074
8350DB004279,Burnaby Park,53.1350997862619,-6.0667706913989,weekday,evening,,100.0,2.08,1.46,2,2026-07-03 02:53:36.731074
